"protein_id","protein_name","drug_id","drug_name","act_type","act_value"
1283,GBRG2_HUMAN,1774,methyprylon,,
1316,GBRB3_HUMAN,1774,methyprylon,,
16218,"5HT2B_HUMAN",1775,methysergide,Ki,9.34000015
16165,"5HT2C_HUMAN",1775,methysergide,Ki,8.34000015
15871,ADRB1_HUMAN,1779,metipranolol,,
15277,ADRB2_HUMAN,1779,metipranolol,,
16165,"5HT2C_HUMAN",1780,metixene,,
15806,ACM1_HUMAN,1780,metixene,,
570,DRD2_HUMAN,1782,metoclopramide,Ki,7.19380000
16197,"5HT3A_HUMAN",1782,metoclopramide,Ki,6.69900000
15369,"5HT4R_HUMAN",1782,metoclopramide,EC50,6.00000000
8380,S12A3_HUMAN,1783,metolazone,,
15871,ADRB1_HUMAN,1786,metoprolol,Ki,7.60000000
5428,TY3H_HUMAN,1792,metirosine,,
8363,SCN5A_HUMAN,1794,mexiletine,IC50,4.53000000
8479,SCN4A_HUMAN,1794,mexiletine,IC50,4.38000000
4110,SCN2A_HUMAN,1794,mexiletine,IC50,5.54000000
8459,SCN9A_HUMAN,1794,mexiletine,Ki,4.89000000
8364,SCNAA_HUMAN,1794,mexiletine,IC50,4.25000000
15543,"5HT2A_HUMAN",1796,mianserin,Ki,8.17000000
16218,"5HT2B_HUMAN",1796,mianserin,Ki,8.12000000
16165,"5HT2C_HUMAN",1796,mianserin,Ki,8.52040000
1031,GBRA1_HUMAN,1802,midazolam,Ki,8.74470000
1283,GBRG2_HUMAN,1802,midazolam,Ki,8.74470000
2778,GBRB2_HUMAN,1802,midazolam,Ki,8.74470000
1283,GBRG2_HUMAN,1802,midazolam,Ki,9.12490000
1316,GBRB3_HUMAN,1802,midazolam,Ki,9.12490000
1313,GBRA5_HUMAN,1802,midazolam,Ki,9.12490000
1031,GBRA1_HUMAN,1802,midazolam,Ki,7.74960000
2778,GBRB2_HUMAN,1802,midazolam,Ki,7.74960000
1036,GBRG3_HUMAN,1802,midazolam,Ki,7.74960000
1283,GBRG2_HUMAN,1802,midazolam,Ki,8.44370000
1309,GBRA3_HUMAN,1802,midazolam,Ki,8.44370000
2778,GBRB2_HUMAN,1802,midazolam,Ki,8.44370000
1309,GBRA3_HUMAN,1802,midazolam,Ki,7.61260000
2778,GBRB2_HUMAN,1802,midazolam,Ki,7.61260000
1036,GBRG3_HUMAN,1802,midazolam,Ki,7.61260000
1316,GBRB3_HUMAN,1802,midazolam,Ki,8.25960000
1313,GBRA5_HUMAN,1802,midazolam,Ki,8.25960000
1036,GBRG3_HUMAN,1802,midazolam,Ki,8.25960000
2778,GBRB2_HUMAN,1802,midazolam,Ki,9.12490000
2778,GBRB2_HUMAN,1802,midazolam,Ki,8.25960000
15934,ADA1A_HUMAN,1803,midodrine,,
1184,GCR_HUMAN,1805,mifepristone,IC50,9.00000000
9980,PRGR_HUMAN,1805,mifepristone,Ki,8.74000000
12341,MGA_HUMAN,1806,miglitol,Ki,6.00000000
12096,LYAG_HUMAN,1806,miglitol,IC50,6.46000000
173,CEGT_HUMAN,1807,miglustat,Ki,5.13000000
8449,SC6A4_HUMAN,1808,milnacipran,Ki,7.29000000
8206,SC6A2_HUMAN,1808,milnacipran,Ki,7.60000000
10461,PDE3A_HUMAN,1809,milrinone,IC50,6.36000000
15543,"5HT2A_HUMAN",1816,mirtazapine,Ki,7.16000000
16165,"5HT2C_HUMAN",1816,mirtazapine,Ki,7.41000000
10893,PE2R3_HUMAN,1817,misoprostol,Ki,8.10000000
13147,C11B1_HUMAN,1820,mitotane,,
393,CP11A_HUMAN,1820,mitotane,,
9079,TOP2A_HUMAN,1821,mitoxantrone,IC90,5.95860000
15345,ACHA_HUMAN,1822,mivacurium,,
15678,ACHB_HUMAN,1822,mivacurium,,
15266,ACHD_HUMAN,1822,mivacurium,,
16037,AOFA_HUMAN,1825,moclobemide,Ki,8.30000000
8358,SC6A3_HUMAN,1826,modafinil,Ki,5.83683863
15580,ACE_HUMAN,1827,moexipril,IC50,8.59000000
570,DRD2_HUMAN,1830,molindone,IC50,6.15680000
15543,"5HT2A_HUMAN",1830,molindone,Ki,6.50000000
1184,GCR_HUMAN,1832,mometasone furoate,Ki,9.15000000
14636,TYRO_HUMAN,1834,monobenzone,,
13836,CLTR1_HUMAN,1836,montelukast,Ki,9.30000000
8363,SCN5A_HUMAN,1842,moracizine,,
18529,OPRM_HUMAN,1845,morphine,EC50,7.86000000
18029,IMDH2_HUMAN,1860,mycophenolic acid,IC50,4.70000000
18080,IMDH1_HUMAN,1860,mycophenolic acid,IC50,4.70000000
207,CNR1_HUMAN,1862,nabilone,Ki,8.40000000
10808,PGH2_HUMAN,1863,nabumetone,,
15871,ADRB1_HUMAN,1865,nadolol,Ki,6.90000000
15277,ADRB2_HUMAN,1865,nadolol,Ki,8.60000000
9592,TRY1_HUMAN,1867,nafamostat,IC50,7.77000000
12989,C1R_HUMAN,1867,nafamostat,IC50,6.00000000
7699,TRYB1_HUMAN,1867,nafamostat,IC50,10.00000000
18039,GNRHR_HUMAN,1868,nafarelin,Kd,9.69900000
18529,OPRM_HUMAN,1874,nalbuphine,Ki,8.80000000
18386,OPRK_HUMAN,1874,nalbuphine,Ki,8.00000000
18385,OPRD_HUMAN,1874,nalbuphine,Ki,6.00000000
18529,OPRM_HUMAN,1876,nalmefene,Kd,9.53000000
18386,OPRK_HUMAN,1876,nalmefene,Ki,9.92000000
18385,OPRD_HUMAN,1876,nalmefene,Kd,9.04000000
18529,OPRM_HUMAN,1878,naloxone,Ki,8.81000000
15965,ANDR_HUMAN,1879,nandrolone,,
15965,ANDR_HUMAN,1881,nandrolone decanoate,,
15965,ANDR_HUMAN,1882,nandrolone phenpropionate,EC50,9.50000000
10479,PGH1_HUMAN,1883,naproxen,IC50,5.16000000
10808,PGH2_HUMAN,1883,naproxen,IC50,5.60000000
16115,"5HT1D_HUMAN",1884,naratriptan,EC50,8.79590000
15254,"5HT1B_HUMAN",1884,naratriptan,Ki,8.48000000
16117,ABCC8_HUMAN,1886,nateglinide,Ki,6.46000004
19228,KCJ11_HUMAN,1886,nateglinide,Ki,6.46000004
15871,ADRB1_HUMAN,1887,nebivolol,Ki,8.50000000
15277,ADRB2_HUMAN,1887,nebivolol,Ki,7.50000000
8449,SC6A4_HUMAN,1890,nefazodone,Kd,6.69900000
8206,SC6A2_HUMAN,1890,nefazodone,Kd,6.44370000
15543,"5HT2A_HUMAN",1890,nefazodone,Ki,8.00000000
15595,ACES_HUMAN,1897,neostigmine,IC50,7.59000000
10808,PGH2_HUMAN,1899,nepafenac,IC50,6.82000000
10479,PGH1_HUMAN,1899,nepafenac,IC50,6.60000000
13223,CAC1D_HUMAN,1909,nicardipine,,
13073,CAC1C_HUMAN,1909,nicardipine,,
15382,ACHB2_HUMAN,1920,nicotine,Ki,8.56000000
15568,ACHA4_HUMAN,1920,nicotine,Ki,8.56000000
13223,CAC1D_HUMAN,1922,nifedipine,IC50,7.70000000
15608,ABL1_HUMAN,1932,nilotinib,Kd,8.44000000
15965,ANDR_HUMAN,1933,nilutamide,IC50,8.05000000
13073,CAC1C_HUMAN,1937,nimodipine,,
13223,CAC1D_HUMAN,1937,nimodipine,,
13223,CAC1D_HUMAN,1942,nisoldipine,,
13073,CAC1C_HUMAN,1942,nisoldipine,IC50,7.10000000
6694,HPPD_HUMAN,1944,nitisinone,IC50,7.39800000
1031,GBRA1_HUMAN,1945,nitrazepam,EC50,8.00000000
1283,GBRG2_HUMAN,1945,nitrazepam,EC50,8.00000000
2778,GBRB2_HUMAN,1945,nitrazepam,EC50,8.00000000
13223,CAC1D_HUMAN,1947,nitrendipine,IC50,8.40000000
3309,GCYB2_HUMAN,1948,nitric oxide,,
17483,GCYA2_HUMAN,1948,nitric oxide,,
3308,GCYA1_HUMAN,1948,nitric oxide,,
17484,GCYB1_HUMAN,1948,nitric oxide,,
3309,GCYB2_HUMAN,1952,glyceryl trinitrate,,
17483,GCYA2_HUMAN,1952,glyceryl trinitrate,,
3308,GCYA1_HUMAN,1952,glyceryl trinitrate,,
17484,GCYB1_HUMAN,1952,glyceryl trinitrate,,
6097,HRH2_HUMAN,1955,nizatidine,Kd,6.92000000
8206,SC6A2_HUMAN,1958,nomifensine,Ki,7.67000000
8358,SC6A3_HUMAN,1958,nomifensine,Ki,7.31000000
9980,PRGR_HUMAN,1959,norelgestromin,,
15277,ADRB2_HUMAN,1960,norepinephrine,Kd,5.40000000
15848,ADA2A_HUMAN,1960,norepinephrine,Ki,7.18000000
15934,ADA1A_HUMAN,1960,norepinephrine,Ki,5.82000000
15387,ADA2C_HUMAN,1960,norepinephrine,Ki,7.20000000
15686,ADA1B_HUMAN,1960,norepinephrine,Ki,4.69000000
15871,ADRB1_HUMAN,1960,norepinephrine,Ki,6.00000000
15894,ADA1D_HUMAN,1960,norepinephrine,Ki,7.40000000
9980,PRGR_HUMAN,1962,norethisterone,ED50,11.25960000
9980,PRGR_HUMAN,1963,norethindrone acetate,ED50,11.25960000
9980,PRGR_HUMAN,1965,norethynodrel,,
9980,PRGR_HUMAN,1968,norgestimate,,
8449,SC6A4_HUMAN,1971,nortriptyline,Ki,7.34000000
8206,SC6A2_HUMAN,1971,nortriptyline,Kd,8.35950000
5055,SSR2_HUMAN,1980,octreotide,EC50,10.69900000
5056,SSR3_HUMAN,1980,octreotide,Ki,8.30000000
5060,SSR5_HUMAN,1980,octreotide,IC50,8.52290000
5057,SSR4_HUMAN,1980,octreotide,Ki,6.40000000
4993,SSR1_HUMAN,1980,octreotide,Ki,6.65000000
570,DRD2_HUMAN,1982,olanzapine,Ki,8.52290000
15543,"5HT2A_HUMAN",1982,olanzapine,Ki,8.31880000
15898,AGTR1_HUMAN,1985,olmesartan medoxomil,IC50,8.10000000
6721,HRH1_HUMAN,1986,olopatadine,Ki,8.28400000
11868,LOX5_HUMAN,1988,olsalazine,,
19023,PPARG_HUMAN,1988,olsalazine,,
10479,PGH1_HUMAN,1988,olsalazine,,
10808,PGH2_HUMAN,1988,olsalazine,,
13904,ATP4A_HUMAN,1990,omeprazole,IC50,5.70000000
13905,ATP4B_HUMAN,1990,omeprazole,IC50,5.70000000
16197,"5HT3A_HUMAN",1992,ondansetron,Ki,7.80000000
8363,SCN5A_HUMAN,1999,orphenadrine,IC50,4.88610000
6721,HRH1_HUMAN,1999,orphenadrine,Ki,7.95860000
8481,SCN1A_HUMAN,1999,orphenadrine,IC50,4.88940000
8479,SCN4A_HUMAN,1999,orphenadrine,Ki,5.65760000
8459,SCN9A_HUMAN,1999,orphenadrine,IC50,4.76450000
8364,SCNAA_HUMAN,1999,orphenadrine,IC50,5.20070000
15965,ANDR_HUMAN,2011,oxandrolone,,
10808,PGH2_HUMAN,2013,oxaprozin,IC50,4.44000000
10479,PGH1_HUMAN,2013,oxaprozin,IC50,6.06752624
1031,GBRA1_HUMAN,2015,oxazepam,IC50,7.74500000
1283,GBRG2_HUMAN,2015,oxazepam,IC50,7.74500000
1316,GBRB3_HUMAN,2015,oxazepam,IC50,7.74500000
8363,SCN5A_HUMAN,2017,oxcarbazepine,,
15806,ACM1_HUMAN,2026,oxyphencyclimine,,
15325,ACM3_HUMAN,2026,oxyphencyclimine,,
15871,ADRB1_HUMAN,2027,oxprenolol,Ki,8.11000000
15277,ADRB2_HUMAN,2027,oxprenolol,Ki,8.00000000
18529,OPRM_HUMAN,2029,oxycodone,Ki,7.79590000
15965,ANDR_HUMAN,2033,oxymetholone,,
18529,OPRM_HUMAN,2034,oxymorphone,Ki,9.44370000
18386,OPRK_HUMAN,2034,oxymorphone,Ki,6.82970000
18385,OPRD_HUMAN,2034,oxymorphone,Ki,7.30000000
10479,PGH1_HUMAN,2036,oxyphenbutazone,,
10808,PGH2_HUMAN,2036,oxyphenbutazone,,
15806,ACM1_HUMAN,2039,oxyphenonium,,
15325,ACM3_HUMAN,2039,oxyphenonium,,
18664,OXYR_HUMAN,2042,oxytocin,Ki,9.10000000
16197,"5HT3A_HUMAN",2046,palonosetron,Ki,10.50000000
5814,FPPS_HUMAN,2048,pamidronic acid,Ki,7.25000000
10479,PGH1_HUMAN,2050,aminosalicylic acid,,
10808,PGH2_HUMAN,2050,aminosalicylic acid,,
15345,ACHA_HUMAN,2052,pancuronium,IC50,8.20070000
15678,ACHB_HUMAN,2052,pancuronium,IC50,8.20070000
15266,ACHD_HUMAN,2052,pancuronium,IC50,8.20070000
13904,ATP4A_HUMAN,2054,pantoprazole,,
13905,ATP4B_HUMAN,2054,pantoprazole,,
13062,CAC1G_HUMAN,2059,paramethadione,,
2223,CAC1H_HUMAN,2059,paramethadione,,
13063,CAC1I_HUMAN,2059,paramethadione,,
15970,AOFB_HUMAN,2065,pargyline,Ki,5.74000000
16037,AOFA_HUMAN,2065,pargyline,IC50,5.47000000
5290,VDR_HUMAN,2066,paricalcitol,EC50,8.70000000
8449,SC6A4_HUMAN,2068,paroxetine,Ki,10.40000000
5444,TYSY_HUMAN,2073,pemetrexed,IC50,6.46850000
1137,DYR_HUMAN,2073,pemetrexed,IC50,5.18050000
15871,ADRB1_HUMAN,2078,penbutolol,Ki,8.80000000
15277,ADRB2_HUMAN,2078,penbutolol,Ki,9.00000000
1031,GBRA1_HUMAN,2095,pentobarbital,EC50,4.30100000
1283,GBRG2_HUMAN,2095,pentobarbital,EC50,4.30100000
2778,GBRB2_HUMAN,2095,pentobarbital,EC50,4.30100000
1316,GBRB3_HUMAN,2095,pentobarbital,IC50,4.06000000
15384,ACHB4_HUMAN,2096,pentolonium,,
15305,ACHA3_HUMAN,2096,pentolonium,,
15780,ADA_HUMAN,2098,pentostatin,IC50,10.80000000
10541,PDE4B_HUMAN,2099,pentoxifylline,,
15560,AA2BR_HUMAN,2099,pentoxifylline,Ki,5.29000000
10515,PDE5A_HUMAN,2099,pentoxifylline,,
15580,ACE_HUMAN,2108,perindopril,IC50,8.82000000
570,DRD2_HUMAN,2112,perospirone,Ki,9.22000000
570,DRD2_HUMAN,2113,perphenazine,Ki,9.32000000
8481,SCN1A_HUMAN,2120,phenazopyridine,,
8479,SCN4A_HUMAN,2120,phenazopyridine,,
8214,SCN7A_HUMAN,2120,phenazopyridine,,
8363,SCN5A_HUMAN,2120,phenazopyridine,,
8459,SCN9A_HUMAN,2120,phenazopyridine,,
4110,SCN2A_HUMAN,2120,phenazopyridine,,
8369,SCN3A_HUMAN,2120,phenazopyridine,,
8255,SCNBA_HUMAN,2120,phenazopyridine,,
8483,SCN8A_HUMAN,2120,phenazopyridine,,
8364,SCNAA_HUMAN,2120,phenazopyridine,,
8206,SC6A2_HUMAN,2122,phendimetrazine,,
8358,SC6A3_HUMAN,2122,phendimetrazine,,
15970,AOFB_HUMAN,2123,phenelzine,Ki,7.82000000
16037,AOFA_HUMAN,2123,phenelzine,IC50,6.83564714
14169,VKOR1_HUMAN,2130,phenindione,,
6721,HRH1_HUMAN,2132,pheniramine,,
8206,SC6A2_HUMAN,2133,phenmetrazine,EC50,7.29760000
8358,SC6A3_HUMAN,2133,phenmetrazine,EC50,6.88270000
15848,ADA2A_HUMAN,2136,phenoxybenzamine,IC50,6.28000000
15934,ADA1A_HUMAN,2136,phenoxybenzamine,IC50,7.27000000
15360,ADA2B_HUMAN,2136,phenoxybenzamine,Ki,8.45593166
14169,VKOR1_HUMAN,2138,phenprocoumon,IC50,5.74472761
13062,CAC1G_HUMAN,2139,phensuximide,,
2223,CAC1H_HUMAN,2139,phensuximide,,
13063,CAC1I_HUMAN,2139,phensuximide,,
8206,SC6A2_HUMAN,2140,phentermine,,
15848,ADA2A_HUMAN,2142,phentolamine,Ki,8.77000000
15934,ADA1A_HUMAN,2142,phentolamine,Ki,8.39000000
15360,ADA2B_HUMAN,2142,phentolamine,Ki,8.12000000
15387,ADA2C_HUMAN,2142,phentolamine,Ki,8.08000000
15894,ADA1D_HUMAN,2142,phentolamine,Ki,7.71000000
15686,ADA1B_HUMAN,2142,phentolamine,Ki,7.32000000
10479,PGH1_HUMAN,2145,phenylbutazone,IC50,5.52000000
15934,ADA1A_HUMAN,2146,phenylephrine,Ki,5.30000000
15894,ADA1D_HUMAN,2146,phenylephrine,IC50,5.90000000
15686,ADA1B_HUMAN,2146,phenylephrine,Ki,6.90000000
15934,ADA1A_HUMAN,2149,phenylpropanolamine,,
8363,SCN5A_HUMAN,2152,phenytoin,,
8481,SCN1A_HUMAN,2152,phenytoin,,
8369,SCN3A_HUMAN,2152,phenytoin,,
8479,SCN4A_HUMAN,2152,phenytoin,Ki,4.62000000
8483,SCN8A_HUMAN,2152,phenytoin,,
8459,SCN9A_HUMAN,2152,phenytoin,,
4110,SCN2A_HUMAN,2152,phenytoin,IC50,4.90000000
15595,ACES_HUMAN,2159,physostigmine,IC50,9.37000000
10808,PGH2_HUMAN,2165,piketoprofen,,
10479,PGH1_HUMAN,2165,piketoprofen,,
15325,ACM3_HUMAN,2166,pilocarpine,EC50,6.96999979
6380,FKB1A_HUMAN,2168,pimecrolimus,Kd,9.00000000
570,DRD2_HUMAN,2172,pimozide,Ki,8.86230000
15575,ABCC9_HUMAN,2173,pinacidil,Ki,6.49000000
19228,KCJ11_HUMAN,2173,pinacidil,Ki,6.49000000
15871,ADRB1_HUMAN,2176,pindolol,Ki,9.40000000
15277,ADRB2_HUMAN,2176,pindolol,Ki,9.00000000
19023,PPARG_HUMAN,2179,pioglitazone,EC50,6.23000000
15345,ACHA_HUMAN,2183,pipecuronium,,
15678,ACHB_HUMAN,2183,pipecuronium,,
15266,ACHD_HUMAN,2183,pipecuronium,,
570,DRD2_HUMAN,2193,pipotiazine palmitate,Ki,9.69896984
15277,ADRB2_HUMAN,2199,pirbuterol,,
15806,ACM1_HUMAN,2200,pirenzepine,Ki,7.68000000
4556,S12A1_HUMAN,2201,piretanide,Kd,8.30000000
8379,S12A2_HUMAN,2201,piretanide,IC50,5.62000000
10808,PGH2_HUMAN,2210,piroxicam,IC50,4.70000000
10479,PGH1_HUMAN,2210,piroxicam,IC50,5.18000000
6025,HMDH_HUMAN,2214,pitavastatin,IC50,8.16750000
8380,S12A3_HUMAN,2228,polythiazide,A2,9.09000000
15595,ACES_HUMAN,2231,pralidoxime,Kd,4.59000000
570,DRD2_HUMAN,2233,pramipexole,EC50,6.60000000
6025,HMDH_HUMAN,2239,pravastatin,IC50,7.52000000
1031,GBRA1_HUMAN,2240,prazepam,,
1283,GBRG2_HUMAN,2240,prazepam,,
2778,GBRB2_HUMAN,2240,prazepam,,
1184,GCR_HUMAN,2243,prednicarbate,,
1184,GCR_HUMAN,2245,prednisolone,EC50,7.80000000
1184,GCR_HUMAN,2247,prednisolone acetate,,
1184,GCR_HUMAN,2251,prednisolone tebutate,IC50,9.28000000
1184,GCR_HUMAN,2253,prednisone,EC50,8.00000000
13449,CA2D1_HUMAN,2255,pregabalin,IC50,7.09690000
8481,SCN1A_HUMAN,2265,prilocaine,IC50,4.26999998
4110,SCN2A_HUMAN,2265,prilocaine,IC50,4.26999998
8369,SCN3A_HUMAN,2265,prilocaine,IC50,4.26999998
1031,GBRA1_HUMAN,2267,primidone,,
1283,GBRG2_HUMAN,2267,primidone,,
2778,GBRB2_HUMAN,2267,primidone,,
8499,S22A8_HUMAN,2268,probenecid,IC50,5.05000000
8232,S22AB_HUMAN,2268,probenecid,IC50,4.26000000
4075,S22A6_HUMAN,2268,probenecid,IC50,4.90000000
15632,ABCA1_HUMAN,2269,probucol,,
8481,SCN1A_HUMAN,2270,procainamide,,
8479,SCN4A_HUMAN,2270,procainamide,,
8214,SCN7A_HUMAN,2270,procainamide,,
8363,SCN5A_HUMAN,2270,procainamide,,
8459,SCN9A_HUMAN,2270,procainamide,,
4110,SCN2A_HUMAN,2270,procainamide,,
8369,SCN3A_HUMAN,2270,procainamide,,
8255,SCNBA_HUMAN,2270,procainamide,,
8483,SCN8A_HUMAN,2270,procainamide,,
8364,SCNAA_HUMAN,2270,procainamide,,
8364,SCNAA_HUMAN,2271,procaine,,
15277,ADRB2_HUMAN,2273,procaterol,EC50,8.43000000
570,DRD2_HUMAN,2274,prochlorperazine,Ki,8.76420000
14143,DRD3_HUMAN,2274,prochlorperazine,Ki,8.61100000
15806,ACM1_HUMAN,2276,procyclidine,Ki,8.33724213
9980,PRGR_HUMAN,2279,progesterone,ED50,9.87610000
570,DRD2_HUMAN,2284,promazine,Ki,6.70370000
15543,"5HT2A_HUMAN",2284,promazine,Ki,7.79590000
6721,HRH1_HUMAN,2286,promethazine,Ki,9.61980000
8363,SCN5A_HUMAN,2291,propafenone,IC50,5.48000000
15871,ADRB1_HUMAN,2291,propafenone,Ki,6.68824614
15806,ACM1_HUMAN,2293,propantheline,Ki,9.70000000
15379,ACM2_HUMAN,2293,propantheline,Ki,9.50000000
15325,ACM3_HUMAN,2293,propantheline,Ki,10.00000000
8481,SCN1A_HUMAN,2294,proparacaine,IC50,5.72000000
4110,SCN2A_HUMAN,2294,proparacaine,IC50,5.72000000
8369,SCN3A_HUMAN,2294,proparacaine,IC50,5.72000000
8364,SCNAA_HUMAN,2294,proparacaine,,
6721,HRH1_HUMAN,2298,propiomazine,,
1031,GBRA1_HUMAN,2302,propofol,EC50,5.70000000
1283,GBRG2_HUMAN,2302,propofol,EC50,5.70000000
2778,GBRB2_HUMAN,2302,propofol,EC50,5.70000000
1031,GBRA1_HUMAN,2302,propofol,EC50,5.39000000
1283,GBRG2_HUMAN,2302,propofol,EC50,5.39000000
1316,GBRB3_HUMAN,2302,propofol,EC50,5.39000000
1283,GBRG2_HUMAN,2302,propofol,EC50,4.95000000
2748,GBRA2_HUMAN,2302,propofol,EC50,4.95000000
2778,GBRB2_HUMAN,2302,propofol,EC50,4.95000000
10558,PERT_HUMAN,2308,propylthiouracil,IC50,5.06000000
17621,IOD1_HUMAN,2308,propylthiouracil,,
16555,TRFR_HUMAN,2316,protirelin,Ki,7.70000000
15277,ADRB2_HUMAN,2318,protokylol,,
8449,SC6A4_HUMAN,2320,protriptyline,Ki,7.34000000
8206,SC6A2_HUMAN,2320,protriptyline,Ki,8.39000000
8206,SC6A2_HUMAN,2326,pseudoephedrine,,
15595,ACES_HUMAN,2330,pyridostigmine,IC50,6.44000000
6721,HRH1_HUMAN,2331,mepyramine,Ki,9.10000000
1031,GBRA1_HUMAN,2336,quazepam,Ki,7.70770000
1315,GBRB1_HUMAN,2336,quazepam,Ki,7.70770000
1283,GBRG2_HUMAN,2336,quazepam,Ki,7.70770000
1315,GBRB1_HUMAN,2336,quazepam,Ki,6.62710000
1283,GBRG2_HUMAN,2336,quazepam,Ki,6.62710000
1309,GBRA3_HUMAN,2336,quazepam,Ki,6.62710000
1315,GBRB1_HUMAN,2336,quazepam,Ki,6.68820000
1283,GBRG2_HUMAN,2336,quazepam,Ki,6.68820000
2748,GBRA2_HUMAN,2336,quazepam,Ki,6.68820000
570,DRD2_HUMAN,2337,quetiapine,IC50,6.48280000
15543,"5HT2A_HUMAN",2337,quetiapine,IC50,7.13110000
15580,ACE_HUMAN,2340,quinapril,IC50,8.08000000
767,ESR1_HUMAN,2342,quinestrol,,
8380,S12A3_HUMAN,2343,quinethazone,,
9980,PRGR_HUMAN,2345,quingestanol acetate,,
8363,SCN5A_HUMAN,2346,quinidine,IC50,5.16000000
8481,SCN1A_HUMAN,2346,quinidine,IC50,5.49000000
4110,SCN2A_HUMAN,2346,quinidine,IC50,5.49000000
8369,SCN3A_HUMAN,2346,quinidine,IC50,5.49000000
13904,ATP4A_HUMAN,2350,rabeprazole,,
13905,ATP4B_HUMAN,2350,rabeprazole,,
767,ESR1_HUMAN,2351,raloxifene,IC50,9.40000000
1652,ESR2_HUMAN,2351,raloxifene,EC50,8.00000000
16434,TA2R_HUMAN,2354,ramatroban,Ki,9.24000000
19858,MTR1A_HUMAN,2355,ramelteon,Ki,10.90000000
20408,MTR1B_HUMAN,2355,ramelteon,Ki,10.39000000
15580,ACE_HUMAN,2356,ramipril,Ki,8.34180000
6097,HRH2_HUMAN,2358,ranitidine,Kd,6.86000000
8363,SCN5A_HUMAN,2359,ranolazine,IC50,5.17000000
15544,AA2AR_HUMAN,2362,regadenoson,EC50,5.88610000
18529,OPRM_HUMAN,2363,remifentanil,,
570,DRD2_HUMAN,2365,remoxipride,IC50,6.06000000
16117,ABCC8_HUMAN,2366,repaglinide,Ki,9.14000034
19228,KCJ11_HUMAN,2366,repaglinide,Ki,9.14000034
14338,VMAT2_HUMAN,2369,rescinnamine,,
14338,VMAT2_HUMAN,2370,reserpine,Ki,7.90000000
18080,IMDH1_HUMAN,2373,ribavirin,IC50,6.00000000
8363,SCN5A_HUMAN,2382,riluzole,,
1184,GCR_HUMAN,2384,rimexolone,,
5814,FPPS_HUMAN,2387,risedronic acid,Ki,9.44000000
570,DRD2_HUMAN,2389,risperidone,Ki,8.49000000
15543,"5HT2A_HUMAN",2389,risperidone,Ki,9.36430000
15277,ADRB2_HUMAN,2390,ritodrine,EC50,7.62000000
15595,ACES_HUMAN,2392,rivastigmine,IC50,7.43000000
17341,CHLE_HUMAN,2392,rivastigmine,IC50,7.52000000
15254,"5HT1B_HUMAN",2393,rizatriptan,Ki,6.90000000
16115,"5HT1D_HUMAN",2393,rizatriptan,Ki,7.90000000
15345,ACHA_HUMAN,2396,rocuronium,IC50,7.76960000
15678,ACHB_HUMAN,2396,rocuronium,IC50,7.76960000
15266,ACHD_HUMAN,2396,rocuronium,IC50,7.76960000
10808,PGH2_HUMAN,2397,rofecoxib,IC50,6.51000000
570,DRD2_HUMAN,2402,ropinirole,Ki,8.14000000
8481,SCN1A_HUMAN,2403,ropivacaine,,
4110,SCN2A_HUMAN,2403,ropivacaine,,
8369,SCN3A_HUMAN,2403,ropivacaine,,
8479,SCN4A_HUMAN,2403,ropivacaine,,
8483,SCN8A_HUMAN,2403,ropivacaine,,
8459,SCN9A_HUMAN,2403,ropivacaine,,
8364,SCNAA_HUMAN,2403,ropivacaine,,
8363,SCN5A_HUMAN,2403,ropivacaine,IC50,4.56000000
19023,PPARG_HUMAN,2405,rosiglitazone,EC50,7.04000000
6025,HMDH_HUMAN,2406,rosuvastatin,Ki,9.05000000
570,DRD2_HUMAN,2407,rotigotine,Ki,10.22000000
6721,HRH1_HUMAN,2413,rupatadine,IC50,8.41000000
15277,ADRB2_HUMAN,2419,salmeterol,Ki,9.41000000
15806,ACM1_HUMAN,2424,scopolamine,Ki,9.00000000
1031,GBRA1_HUMAN,2428,secobarbital,,
1283,GBRG2_HUMAN,2428,secobarbital,,
2778,GBRB2_HUMAN,2428,secobarbital,,
15970,AOFB_HUMAN,2429,selegiline,Ki,7.26000000
5522,GHRHR_HUMAN,2433,sermorelin,,
8449,SC6A4_HUMAN,2436,sertraline,Kd,9.54000000
1320,GBRP_HUMAN,2439,sevoflurane,,
1035,GBRD_HUMAN,2439,sevoflurane,,
1031,GBRA1_HUMAN,2439,sevoflurane,,
1315,GBRB1_HUMAN,2439,sevoflurane,,
1283,GBRG2_HUMAN,2439,sevoflurane,,
1316,GBRB3_HUMAN,2439,sevoflurane,,
1313,GBRA5_HUMAN,2439,sevoflurane,,
1309,GBRA3_HUMAN,2439,sevoflurane,,
2748,GBRA2_HUMAN,2439,sevoflurane,,
2778,GBRB2_HUMAN,2439,sevoflurane,,
1311,GBRA4_HUMAN,2439,sevoflurane,,
1365,GBRE_HUMAN,2439,sevoflurane,,
2776,GBRA6_HUMAN,2439,sevoflurane,,
1282,GBRG1_HUMAN,2439,sevoflurane,,
1036,GBRG3_HUMAN,2439,sevoflurane,,
1323,GBRT_HUMAN,2439,sevoflurane,,
17644,KCNK2_HUMAN,2439,sevoflurane,,
17645,KCNK3_HUMAN,2439,sevoflurane,,
17979,KCNK9_HUMAN,2439,sevoflurane,,
17980,KCNKA_HUMAN,2439,sevoflurane,,
